ID,Kode Jari,Deskripsi Gestur
1,[1],Kelingking saja
2,[2],Jari Manis saja
3,[3],Jari Tengah saja
4,[4],Jari Telunjuk saja
5,[5],Jempol saja
6,"[1, 2]",Kelingking + Manis
7,"[1, 3]",Kelingking + Tengah
8,"[1, 4]",Kelingking + Telunjuk
9,"[1, 5]",Kelingking + Jempol
10,"[2, 3]",Manis + Tengah
11,"[2, 4]",Manis + Telunjuk
12,"[2, 5]",Manis + Jempol
13,"[3, 4]",Tengah + Telunjuk
14,"[3, 5]",Tengah + Jempol
15,"[4, 5]",Telunjuk + Jempol
16,"[1, 2, 3]",Kelingking + Manis + Tengah
17,"[1, 2, 4]",Kelingking + Manis + Telunjuk
18,"[1, 2, 5]",Kelingking + Manis + Jempol
19,"[1, 3, 4]",Kelingking + Tengah + Telunjuk
20,"[1, 3, 5]",Kelingking + Tengah + Jempol
21,"[1, 4, 5]",Kelingking + Telunjuk + Jempol
22,"[2, 3, 4]",Manis + Tengah + Telunjuk
23,"[2, 3, 5]",Manis + Tengah + Jempol
24,"[2, 4, 5]",Manis + Telunjuk + Jempol
25,"[3, 4, 5]",Tengah + Telunjuk + Jempol
26,"[1, 2, 3, 4]",Kelingking + Manis + Tengah + Telunjuk
27,"[1, 2, 3, 5]",Kelingking + Manis + Tengah + Jempol
28,"[1, 2, 4, 5]",Kelingking + Manis + Telunjuk + Jempol
29,"[1, 3, 4, 5]",Kelingking + Tengah + Telunjuk + Jempol
30,"[2, 3, 4, 5]",Manis + Tengah + Telunjuk + Jempol
31,"[1, 2, 3, 4, 5]",Full Hand (Semua Jari Terbuka)
